City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la roda,39.2167,-2.15,9.85,51,23,13.14,ES,1707567526
83,vrede,-27.4257,29.1659,31.21,16,7,6.21,ZA,1707567399
84,shubarshi,48.5872,57.1869,-4.9,90,100,2.05,KZ,1707567526
85,klyuchi,52.2667,79.1667,-3.24,67,100,8.11,RU,1707567527
86,palitana,21.5167,71.8333,26.62,14,3,3.84,IN,1707567347
87,puerto baquerizo moreno,-0.9,-89.6,25.35,87,16,3.77,EC,1707567527
88,saipan,15.1355,145.701,26.39,78,40,7.2,MP,1707567527
89,priladozhskiy,59.85,31.4833,-10.79,90,88,2.52,RU,1707567527
90,kuching,1.55,110.3333,27.79,87,20,2.68,MY,1707567527
91,priozersk,61.0393,30.1291,-4.39,74,100,1.64,RU,1707567527
92,lae,-6.7221,146.9847,27.71,84,93,0.58,PG,1707567527
93,yabelo,4.8833,38.0833,28.42,24,52,3.59,ET,1707567527
94,touba,8.2833,-7.6833,36.44,12,21,1.27,CI,1707567389
95,puerto penasco,31.3167,-113.5333,11.62,69,46,0.45,MX,1707567527
96,prieska,-29.6641,22.7474,30.61,14,0,2.6,ZA,1707567528
97,iqaluit,63.7506,-68.5145,-30.73,67,40,1.03,CA,1707567528
98,lebu,-37.6167,-73.65,14.35,90,45,2.04,CL,1707567391
99,sturgis,41.7992,-85.4192,2.14,86,0,2.06,US,1707567528
100,hassi messaoud,31.6804,6.0729,22.92,23,75,3.09,DZ,1707567528
101,kirakira,-10.4544,161.9205,27.83,80,100,11.6,SB,1707567528
102,kerikeri,-35.2268,173.9474,18.28,87,25,0.45,NZ,1707567528
103,prince rupert,54.3161,-130.3201,4.83,100,100,9.77,CA,1707567528
104,alausi,-2.2,-78.8333,8.99,82,17,1.15,EC,1707567528
105,vredendal,-31.6683,18.5012,31.1,20,0,4.6,ZA,1707567528
106,fale old settlement,-9.3852,-171.2468,28.31,83,100,6.98,TK,1707567528
107,alo,7.4178,6.7371,40.02,21,12,1.19,NG,1707567528
108,san antonio de pale,-1.4014,5.6325,29.08,69,20,2.49,GQ,1707567528
109,goundam,16.4145,-3.6708,30.99,5,0,2.17,ML,1707567529
110,xingcheng,40.6167,120.7167,-3.24,69,2,2.21,CN,1707567529
111,puerto lempira,15.2667,-83.7667,24.08,88,20,3.09,HN,1707567529
112,iskateley,67.6803,53.1512,-22.77,99,58,3.58,RU,1707567529
113,san fernando de monte cristi,19.8667,-71.65,23.62,64,39,7.22,DO,1707567529
114,scarborough,54.2797,-0.4044,8.42,94,100,1.93,GB,1707566968
115,ust'-kulom,61.6864,53.6902,-13.07,94,100,3.37,RU,1707567529
116,sitka,57.0531,-135.33,6.94,70,100,8.23,US,1707567529
117,bastia,42.6667,9.3333,14.05,83,75,5.14,FR,1707567529
118,chahuites,16.2833,-94.1833,21.0,79,12,1.76,MX,1707567529
119,selfoss,63.9331,-20.9971,-4.98,77,100,3.76,IS,1707567529
120,namibe,-15.1961,12.1522,27.63,69,99,4.04,AO,1707567529
121,longyearbyen,78.2186,15.6401,-4.09,68,75,9.26,SJ,1707567529
122,hamilton,39.1834,-84.5333,12.64,94,100,2.06,US,1707567060
123,pingliang,35.5392,106.6861,0.54,46,0,1.29,CN,1707567529
124,keflavik,64.0049,-22.5624,-2.05,63,0,7.2,IS,1707567529
125,atafu village,-8.5421,-172.5159,29.39,76,100,8.19,TK,1707567529
126,olinda,-8.0089,-34.8553,29.85,70,40,6.69,BR,1707567329
127,bairnsdale,-37.8333,147.6167,14.73,88,12,2.01,AU,1707567529
128,ljusdal,61.8288,16.0913,-9.24,89,100,0.93,SE,1707567529
129,san luis de la loma,17.2706,-100.8939,21.68,77,43,2.22,MX,1707567530
130,airway heights,47.6446,-117.5933,-2.34,90,40,0.0,US,1707567530
131,satsuma,30.8532,-88.0561,18.4,98,100,2.37,US,1707567530
132,springbok,-29.6643,17.8865,27.32,18,0,4.12,ZA,1707567530
133,yuzhno-kurilsk,44.0306,145.8556,-4.24,66,100,3.32,RU,1707567530
134,thunder bay,48.4001,-89.3168,-6.05,73,100,5.14,CA,1707567264
135,valentin gomez farias,28.2167,-106.5833,4.64,62,90,7.75,MX,1707567530
136,whakatane,-37.9585,176.9854,19.17,99,37,0.45,NZ,1707567530
137,alta,69.9689,23.2717,-16.41,60,0,6.69,NO,1707567530
